id;brojpokretanja;datumpokretanja;vrijednost;naziv
1;22355;2020-05-20;40430;Senior Synchronised strategy
2;51857;2020-05-20;21385;Vatu Spring e-commerce
3;40960;2020-05-20;35000;withdrawal Fall multi-tasking
4;33221;2020-05-20;30025;mission-critical
5;97012;2020-05-21;16263;leverage Oman
6;55620;2020-05-20;50188;Gloves
7;19257;2020-05-20;25617;enhance Plastic system
8;77677;2020-05-21;72316;New York Computer Computers
9;26413;2020-05-20;22427;Norway
10;26191;2020-05-20;61336;deposit payment tangible
